id_operador,nombre_operador,estrellas,id_cliente,nombre_cliente
3,Maria,x;0;0;0;0,220,Julieta
2,Ferruccio,x;x;x;0;0,221,Sara
1,Henry,x;x;x;x;x,222,Samuel
3,Maria,x;x;x;x;0,223,Victoria
2,Ferruccio,x;x;x;x;x,224,Ignacio
1,Henry,0;0;0;0;0,225,Mia
1,Henry,x;0;0;0;0,226,Samuel
4,Carlos,0;0;0;0;0,227,Victoria
1,Henry,0;0;0;0;0,228,Mia
2,Ferruccio,x;0;0;0;0,229,Julieta
3,Maria,x;x;x;x;0,230,Victoria
5,Ana,x;x;x;x;x,231,Catalina
5,Ana,x;x;0;0;0,232,Julieta
1,Henry,0;0;0;0;0,233,Thiago
3,Maria,x;0;0;0;0,234,Martina
4,Carlos,x;0;0;0;0,235,Victoria
4,Carlos,x;x;x;x;0,236,Carolina
3,Maria,x;0;0;0;0,237,Isabella
1,Henry,x;x;0;0;0,238,Agustin
3,Maria,x;x;x;x;x,239,Catalina
