id_operador,nombre_operador,estrellas,id_cliente,nombre_cliente
1,Sergio,x;x;x;0;0,301,Marcos
2,Giulia,x;x;0;0;0,302,Valeria
3,Andrés,x;x;x;x;0,303,Sofía
4,Paola,x;0;0;0;0,304,Camilo
5,Elena,x;x;x;0;0,305,Romina
6,Nicolás,x;x;x;0;0,306,Emiliano
2,Giulia,x;x;x;0;0,307,Renata
3,Andrés,x;x;x;x;x,308,Claudia
4,Paola,x;x;0;0;0,309,Francisco
1,Sergio,x;0;0;0;0,310,Martina
6,Nicolás,x;x;x;x;0,311,Felipe
5,Elena,x;x;x;x;0,312,Carolina
3,Andrés,x;x;x;0;0,313,Julieta
2,Giulia,x;x;0;0;0,314,Tomás
4,Paola,x;x;x;0;0,315,Ana
6,Nicolás,x;x;x;x;0,316,Ricardo
1,Sergio,x;x;0;0;0,317,Valentina
5,Elena,x;x;x;0;0,318,Luis
2,Giulia,x;0;0;0;0,319,Isabella
3,Andrés,x;x;x;0;0,320,Gabriel
4,Paola,x;x;x;x;x,321,Lara
6,Nicolás,x;x;0;0;0,322,Federico
1,Sergio,x;x;x;x;0,323,Daniela
5,Elena,x;0;0;0;0,324,Esteban
2,Giulia,x;x;x;x;0,325,Lucía
3,Andrés,x;x;x;0;0,326,Roberto
6,Nicolás,x;x;x;0;0,327,Magdalena
4,Paola,x;x;0;0;0,328,Ignacio
1,Sergio,x;x;x;x;0,329,Constanza
5,Elena,x;x;x;x;0,330,Alonso
